Category,Subcategory,Budget Threshold (%),Monthly Limit (₹),Description
Food,Groceries,35,5250,Vegetables fruits dairy staples from stores
Food,Dining Out,35,5250,Restaurants cafes dhabas
Food,Delivery,35,5250,Zomato Swiggy food delivery apps
Food,Snacks,35,5250,Tea coffee biscuits chips canteen
Food,Coffee/Tea,35,5250,Starbucks CCD chai tapri
Transport,Fuel,15,2250,Petrol diesel CNG for vehicle
Transport,Cab,15,2250,Ola Uber Rapido InDrive
Transport,Metro/Bus,15,2250,Metro card bus pass public transport
Transport,Auto,15,2250,Auto rickshaw local transport
Transport,Parking,15,2250,Parking charges
Entertainment,Movies,10,1500,Movie tickets PVR INOX
Entertainment,Streaming,10,1500,Netflix Prime Hotstar Spotify
Entertainment,Gaming,10,1500,Games in-app purchases
Entertainment,Outings,10,1500,Trips outings picnics
Utilities,Electricity,10,1500,Electricity bill
Utilities,Water,10,1500,Water bill
Utilities,Internet,10,1500,Broadband WiFi bill
Utilities,Mobile Recharge,10,1500,Jio Airtel Vi mobile recharge
Utilities,DTH,10,1500,Tata Sky DishTV
Education,Books,10,1500,Textbooks notebooks stationery
Education,Courses,10,1500,Coursera Udemy online courses
Education,Online Subscriptions,10,1500,Educational apps subscriptions
Education,Exam Fees,10,1500,Exam registration fees
Shopping,Clothing,10,1500,Shirts pants from Myntra Ajio
Shopping,Footwear,10,1500,Shoes sandals slippers
Shopping,Electronics,10,1500,Gadgets accessories earphones
Shopping,Accessories,10,1500,Bags watches belts
Health,Medicines,5,750,Pharmacy medicines supplements
Health,Doctor Visit,5,750,Doctor consultation fees
Health,Gym/Fitness,5,750,Gym membership fitness classes
Health,Insurance,5,750,Health insurance premiums
Personal Care,Salon,5,750,Haircut spa grooming
Personal Care,Grooming,5,750,Shaving skincare products
Personal Care,Cosmetics,5,750,Makeup beauty products
Rent/Housing,Rent,0,0,Monthly room or flat rent
Rent/Housing,Maintenance,0,0,Society maintenance charges
Rent/Housing,Repairs,0,0,Home or room repairs
Miscellaneous,Gifts,5,750,Birthday gifts personal gifts
Miscellaneous,Donations,5,750,Charity temple donations
Miscellaneous,Uncategorized,5,750,Expenses that dont fit other categories
